"text","positive","negative"
" lol! I thought it was pretty funny too!","1","0"
" hate u....  I have 2 wait one week to see it cuz here (Puerto Rico) is still coming soon....","0","1"
" oh but that girl  but AIDAN!","0","1"
"_McLife yeah that is the one thing i hate about tweetdeck","0","1"
" Really! No even a little bit of #pane","0","0"
" oh **** that sucks","0","1"
"Thanks for the follow my new Twitpeeps!","0","1"
" i just downloaded Bonnie and Clyde by Beyonce and Jay-Z...an old fav","1","0"
"Lovely hubby has just spray tanned the back of my legs for me so hopefully won`t look like an allsort for much longer!!","1","0"
" yeps...just for today though  I badly wanted to do some geek-shopping...","0","1"
"Starting some work on final year project. Just making some test pieces in flash to see how things could work. Listning to iPod too","0","0"
"Need To Go Shopping  Boring Day T`day....Nothing To Dooo. College Tmro...How ****` Excitin`  Wish Twitter Was Simplified For Me =] <3","0","1"
"Heading downtown! Drinks and dancing!!","1","0"
" You`re welcome and thanks for inviting us to talk. #48hoursnz is like becoming a parent. No one can really prepare you for it","1","0"
" where`s the UK love?!","0","0"
"I have a broken wrist","0","1"
"Guess I`ll be running in a little bit. Accidentally fell asleep","0","0"
"Cathylo-fran! I`m glad i can vent out to you about this. Thanks for being here for me bestfriend","1","0"
"had a nice brunch by the bay.. Thank God for Mommies!","1","0"
"  i love you. don`t leave me!","1","0"
"Back to reality... boo","0","1"
"Is definitely working sunday afternoon to late evening","0","0"
" you didn`t come to see the hosts at hilton mr. thomas. we spent lots of money for nothing. that`s boring","0","1"
"I only have 2 more seasons of X-Files to watch","0","0"
" I understand  Computers are fun again!","1","0"
" haha it will be interesting haha","1","0"
" Yes. when I was talking to you...","0","0"
"  I know... just when I was starting to think this break-up was gonna have me up all night tossin and turnin.. no ma`am!","0","0"
"HAPPY MOTHERS DAY to everyone lucky enough to be a mommy. extra special happy to  who became a mommy 2day","1","0"
"Im craving some cinnamon toast crunch. Why is it so cold today!!","0","1"
" Thanks bro but I`m awake already  How are you?","1","0"
"At the coast. Too many people here i know.  i love you Nicci!","1","0"
"Watching Ace of Cakes","0","0"
" My Photoshop won`t let me save anything  Due to a disk error. The blend took me 1.5 hours!","0","1"
"its my birthday.....happy birthday to me!!!!","1","0"
" i wish i was outside","1","0"
"is off to get the boy and then to his doc. Persistent coughs are not good.  http://plurk.com/p/x285t","0","1"
"gear troubles all day long!","0","1"
" Please bring  to your show","0","0"
"Threee WORDS . . . YOUTUBE BAMBOOZLE SHOW","0","0"
"Graduating from high school tonight  im kind of sad..","0","1"
"http://twitpic.com/4jccd - and also these hi top Reeboks.  cause i can","0","0"
"is going to her last full day of school. life is good.","1","0"
"I HATE FLORISTS  No rose for cassadee tomorrow now =/ fricken **** florist people ={ hmm..need something else...hmm...","0","1"
"this thing was more fun with my itouch","1","0"
" You know we dont believe half of what they say","0","1"
" denial can be very powerful","0","0"
" congratulations","1","0"
" EPIC moment! hahahha i swear.. i really wanna see it","1","0"
"Done some positive affirmation now back to the Japanese yay for bank holiday Monday","1","0"
" YOU SHOULD TOUR!! *lol* I live all the way out in Tennessee! :-P jk. How would you do that?","0","0"
"only an hour left with my iPod touch","0","0"
"OO YAY 39 FOLLOWERS I WANT 100  HELP ME","1","0"
" is over","0","0"
" I`m absolutely jealous as hell of Brenda","0","1"
"Whooops... wrong smiley... it`s supposed to be  LOL","0","1"
" ur moving to leeds?? wut are u doing up there? work? ur just a jetsetter..i wanna move to England too","0","0"
"my phone is dead and my charger is miles away.. _S_R  i`ll talk to you in august","0","0"
"Had a dream I brought  and  to kings island. It was pretty sweet. Bummed they`re in poughkeepsie 24 hours before me","1","0"
" MTV Movie Awards. Go vote! STAT","0","0"
" Why do you not respond me?","0","1"
"AHHHHHHHH omg Pridelines got talent is giving me a headache!! wtf omg osn !!! Make it stop mommy make it stop","0","1"
" i love those boys. i missed the chat yesterday  it was the firts & only one i`ll miss though! <333 Nick Jonas <3333","0","0"
"So I`m REALLY considering it at the moment  Same days but even more money. Harder work though but can`t imagine harder than I do now.","0","1"
"he`s pretty cute.","1","0"
"when do the stars come out??","0","0"
"best show of my life. mcfly rocks my world  i wanna meet you guys ;;","1","0"
"just now i know how twitter exactly work","0","0"
"Might be in the middle of a perfect weekend...","1","0"
" same with drunk guests.. Our jobs are pretty similar sometimes","0","0"
"lol if i only can sTay up a few more hours.. i keep missing Tila`s lasT posTs ..","0","0"
" i know  mark is still one of my favorite boys ever. So nice and adorable.","1","0"
" Is a **** but she`ll never know I said it cuz she doesn`t love her twitter","0","1"
"_ A blouse! ahahaha I gave her money and she went to get it!  Where`s your mom??","0","0"
" If you mean backround then.. Settings>design.. scroll to the bottem and click change backround image  & there ya go.","0","0"
" ... i hate it so much.","0","1"
"i woke him up in the end. Got bored.","0","1"
"recovering from being sick ... anyone want to bring me soup?","1","0"
"looking at all my old myspace status` oh mann. Skyrockets in flight! afternoon delight! AAAAAAAAfternoon delight!","1","0"
" Very funny Thanks","1","0"
" I love it...that`s going to be one of my new fave quotes.","1","0"
"_KHC wooow. lucky XD my break is gonna end. my classes starts @ june 4","1","0"
" AH! STEPH TWEETS!","0","0"
"has had AWFUL hiccups today and now can`t fall asleep because of them","0","1"
"baked a cake & watching a movie.","0","0"
"Todays the day Twitterland...house closing begin at 11 and we should get to start moving in @ 3 into the new place.","0","0"
"just watched JONAS. It was funny.","1","0"
"Just downloaded parnoid","0","0"
" I`m out of town next week   We`ll have to party when I get back. Happy early Birthday!","1","0"
" me me me!  lol","0","0"
"Happy Birthday tooo meeee... Happy Birthday tooo meeee...","1","0"
"wow tiz almost midnite o_O bedtime for me!! ha gnite gorgeous ppl  *HADtheBESTdayEVER*","1","0"
"_ Goodnight","0","0"
"The Hangover: That movie is gonna be hilarious. wish i could see it with the crew","1","0"
" What happened to Dave?","0","0"
"am sitting in the library with eyes half closed cause havent slept in a while coz of exams","0","0"
" Yes - noticed that after the retweet..","0","0"
"Just got to work. Only today and three days left.  my heart is breaking.","0","1"
" oh! i love that as well!! all of MCR songs are great!  and happy star wars day to yaa xD","1","0"
" shut up  you know what! oll just like zack again then.","0","0"
"10) I`m allergic to hot wax","0","1"
" Pad Thai is my favourite","1","0"
"I just ate some burgers from Jack In The Box and im not sure if I want to continue eating burgers","0","0"
" oh you and  had free drinks?! thats wasup..Im givin up drinkin for a lil bit","0","0"
"Stuck in awful traffic in the way to the wedding. Ceremony is supposed to start now. Ughhh.","0","1"
" I`m sorry to hear that! that makes me sad","0","1"
"yum - mother`s day lunch at The Food Business in Burnside was delicious! such a gorgeous day","1","0"
"SNL with Justin Timberlake!","0","0"
" http://twitpic.com/4wkym - Looks Yummy...I can haz smal pies pleess??","1","0"
"Not feeling very well.","0","1"
"45Th st pub anyone tonight? Dont want to be a lonely drunk tonight","1","0"
"_05 I know booskie. HE is everywhere I am. & U too. Thank u for the reassurance! I love u.","1","0"
" he`ll be out of school in 18mos! He just started again","0","0"
" showed my fluid decreasing slightly so doesnt look like Im getting out of this bed anytime soon  Ive got a follow up U/S next week","0","0"
"****....game starts in 30 min!!","0","1"
" arre seriously! They shud take his sperm nd clone him into 23 yr old single guys","0","0"
" I want a massage!!!","0","0"
"Sick kid trumps advance planning.  Bummer","0","1"
" hahahahahahahahahahahahaha  that could be interesting","1","0"
"He`s off...again  i wish he would make up his frickin mind...","0","0"
"****...the right side of my earphones just stopped working all of a sudden. Now I need to buy new ones...","0","1"
" revising as uni exams are looming","0","1"
"bah! bk on reception  comps aint working.....BUT the sun has got his hat on hip-hip-horay  x","0","1"
" Thanks for the #followfriday!","1","0"
" Haha... How could u? dun eat properly rt? see lar~ Go take medicine","0","0"
"_Mel thanks that was nice of u and I appreciate u","1","0"
"because it is too hot i am sleeping with the window open. just means all the noise will make me up early","0","1"
"#BGT That poor kid","0","1"
"knee surgery.... back home for about 6 weeks","0","0"
" i hope its earlier. september is along time offf","1","0"
" Good luck on Monday!  Keep on rockin`","1","0"
" is work next door sucking again","0","1"
"My friends are awesome!   -- and the non Twitter ones here right now too!!","1","0"
"i aint lyk any othaa gurrrrrl i dont lyk the jonas brothers-kristi.","1","0"
" Well I guess the McCafe=tastes like **** cured ur craving? You get the McSkillet? Me Wants","0","1"
"is stoked for spring! Amazing wild foods! Nature is abundant~bless up!!!","1","0"
"I need skott right now","0","0"
" hello hello hello  what u up to tonight??","0","0"
" i know!  i wish she would. I just wanna cuddle and sleeep in ga! And go to the world of coke","1","0"
" loll my dad leavingg and moving to las vegas and myy now ex boyfrienndd is FINALLLY done talking to me and has left me alone","1","0"
"Just got caught in the down pour","0","1"
"heading up to the farm   dont want to i wanna stay here and talk with my boyfriend... STUPID MOM FOR MAKING ME GO UP >.<","0","1"
"I`d rather sit on a bench with a friendly psychiatric patient than go a party with some 'cool' person","1","0"
"MY best `thing` on the planet","1","0"
" that`s because of all the stuff that was stolen while you were gone...","0","0"
"Whew! Moving commercial-sized freezer and cooler a lot more work than I expected. Missing the HTC roundtable","1","0"
"(bye) plurk out muna. will be back when im done reading the book  http://plurk.com/p/rq9c7","0","0"
" God bless you my dear friend...","1","0"
" I think I`ve been killed judging bt my energy after attacking just to see what happened  #spymaster","0","1"
"thanks kate too.  *kisses* Xoxo.","1","0"
"Poor .  The flowers are fornicating with HIS nose now.    ","0","1"
"just got home from a meeting with the girls... Maaaaaan I`m exhausted!! Goodnight world","0","0"
"I wanna see Drag Me To Hell  Someone take meee!  Oh and Follow me.  And Subscribe: http://www.youtube.com/user/JessiNoel29","0","0"
"wah....American Chocolate Cheese Cake for my chweet mummy ! muaxxx","1","0"
"I miss my cousin so much","0","1"
"Jus sittn here thinkin....wow yo my boy is really gone! Smh yo! Its bout to be 3 weeks on Sunday!  R.I.P VON","0","1"
"bored bored bored. nothing to do today besides work at 5","0","1"
" Flo is one of my Backup wives in case Renae gets abducted by Aliens or Russians. But if Flo`s pregnant it changes things","0","0"
"It`s Just So Audioo.","0","0"
" Everything","0","0"
" maybe she`s funny like a jester","1","0"
"This is sad","0","1"
" I was supposed to go boating/songwriting in Cape Cod.. but its cold and rainy","0","0"
"Hahahahaha i rember when i riped that william picture out of one of claires mags. I beated zoe to it","0","0"
"is having a quiet mothers day evening... happy mothers day to all the yummy mummies","1","0"
"@_mamalaura night! So cute that K loves frogs  http://myloc.me/FI0","1","0"
" Maddie starts working? WATCH OUT WORLD!","0","1"
"GOING TO WATCH SUPERNATURAL shall return afterwards  ****","0","0"
" used is definitely cheaper... may have to get later ones that way... but new is ok for now...","0","1"
"going to check and make sure no more fishies are dead. poor fishies","0","1"
"Hurray for old friends with beer and lady friends!!!!","1","0"
" yayy!!! Im gonna see you today! I miss you!","0","0"
"got such sore feet","0","1"
"oh thats hard-going. I`m writing a book at the moment so am motivating myself to press on with that.","0","0"
" thanks.. that was quick..","1","0"
"says it`s late. Goodnight people!","1","0"
"This will be the worst day ever....graduation","0","1"
" It`s time to be all u can be like the reserves....I lost one.","0","1"
"Trending Topics on Twitter used to useful. Now they`re just like middle schoolers passing around notes cause class is boring.","0","1"
"Daughter has a 45 min orthodontist appt and I forgot my ebook reader","0","0"
" haha! And Twitter! Hard though isn`****?!","0","1"
"_gregor Great avatar","1","0"
"Gonna have to have arthroscopy to repair my knee","0","1"
"Oh my `Mix Khichadi` seems to be ready now .. time for Lunch  !","0","0"
"half my class just called me retarded it hurt for real","0","1"
" good to know PLN`s Earthday doesn`t only happen in my neck of the woods","1","0"
" ****! I wish I were going! Found out too late to get wranglers for my kids and .  I miss #mountainjam every year!","0","1"
"Got 2 get ready 4 work  would rather be fishing!","0","0"
"Having to write a real looking paper letter. Not done one of those for a very long time. Sad really.","0","1"
" yay i found u!! i had a great time tonight!","1","0"
" im following because of   yaaaaaay conor!","0","0"
"Oh boy this is going to be a loooooong day","0","1"
" dont quit.","0","0"
"Finally it`s Friday! Things are going to be so different starting next week...my house will be empty!","0","0"
"I am loving this beautiful monday morning!","1","0"
"says everyone was busy  http://plurk.com/p/rou4v","0","0"
"Heading home in the rain  no pool today...guess I will hit the treadmill instead.","0","0"
"My roommate has officially started packing","0","0"
"_Hammond Were on the way home from a night in London! Was lovely! Now working all weekend and Monday  when the weathers nice x","1","0"
" haha its awesome i always have to use it when i eat","1","0"
"_b I met  at EPIC - he said you were at SS Coffee... I thought he just meant sitting there drinking a lot of coffee","0","0"
"did it!!  back in pakistan! - http://bkite.com/07kBQ","0","0"
"_127 not nice.rather be one or the other.lol","0","0"
"whenever it rains it`s so hard to get motivated","0","1"
"chillin` with Kealie.","0","0"
"_cohen I am lost. Please help me find a good home.","0","0"
" I wish he was still around.   there was a litter under our azalea. I caught DD in the back yard @ 6 am with bunnies in her lap.","0","0"
"likes being friends but it hurts when u love your friend but the feelings arent the same. trying to sleep. has to really try to give up.","0","0"
"Happy Star Wars Day everyone! May the 4th be with you","1","0"
"_MJA ..I don`t know who gon do the yelling & cussing for upgrades when u go.","0","0"
"finished my capital transactions exam . . . as another monkey climbs down my back. looking forward to being in a glorious mood tomorrow.","1","0"
"  They don`t do car audio","0","0"
"Good morning everyone i hope you all have a great day  even though  it is Monday keep on smiling","1","0"
"Watching Jimmy F.  delete all his social network profiles  No more Jimmy cyber time.","0","0"
"the grates & children collide tonight","0","0"
" I thought I was the only one with the tags on the outside of my shirt","0","0"
"There are ants on my lollipop","0","0"
" thanks  i love the word CRIKEY it`s like my sayin`","1","0"
" and  there is no top 40 radio station in fresno!","0","0"
"Still working on music grades...outside on the deck...sun is behind a big gray cloud","0","0"
" i tryed that the other day but they werent giving up what they were using!","0","0"
" peter!! follow me!! oh and have fun in europe!","1","0"
" ay buti pa kayo!!!! uy thank you!!","1","0"
"Ahhhh I think the rain is gonna begin shortly","0","0"
"there are some really scary noises coming from outside","0","1"
" Oh I know. For a while they cancelled the 5pm Oxford to Paddington every Friday evening because of staff shortages","0","0"
"puppy I wanted was adopted yesterday  I guess my dogs don`t get a little brother anytime soon. but at least he isn`t in a shelter now","0","0"
"In class till 12  wishing the rain would go away!!","0","0"
" a buff guy.....unfortunatly alot of people dont know Danny`s name either which is sad   Sophie is so sweet","0","0"
"An extra night in pasadena with sergi baby cuz i `missed` my train to riverside","0","0"
" im sorry. I fail.","0","1"
" plz dont fall in love with tokyo and never come home","0","0"
"at BIF.... i love this buliding....","1","0"
"Back from NYC... convinced on moving to the LES by Fall","0","0"
"Halla Miss Haloom  .. how are you dear? am doing fine so far but .. eeem worrying about rationale project.. Allah eyaseer inshallah","0","0"
"_Jolene Try 90 4 next 3 days!  :O  Yuk!    lol  n e thing poppin` @ SN?","0","0"
" yummy thanks  strangely quiet too. Kids are downstairs harassing Lance","0","0"
"I am so **** hungry it`s not even funny!","0","1"
" Link doesn`t work","0","0"
"@ Nickchien _ i am happy to break my twitter virginity with you two.","1","0"
" we miss you in SE Asia. Come visit us when you have time.","0","1"
"is actual gonna need a new job and not just want","0","0"
"Awww my daddy! Got in a car accident! Pray for him! He`s shook`n up a lil!","0","1"
" **** your in trouble now  why don`t you try with one of those companys that buys your house for you","0","1"
"Im still in my my pjs  but I haveto get dressed cuz Im going to see Dancing on Ice live","0","0"
"My last full day of even day classes. I`m a little sad","0","1"
" G`night!","0","0"
"Picking up a couple toys tonight! D300 and 50mm f/1.4! YAY!! :-D Just for the weekend though","1","0"
" wassup m8 ... bad day not good","0","1"
"Working 12 hours saturday and sunday  atleast i`ll have my phone to keep me company..","0","0"
"my fab broke","0","1"
" i graduate at 9am on Sunday June 14th...","0","0"
" i looooove me some star trek. runs in the family","1","0"
" Oh yah! My dad does that. But I don`t have a landline.","1","0"
"http://twitpic.com/4jj4j - Birthday Breakfast! Yummm- chai & an apple fritter","1","0"
"sooo long twitters! I`m off to Cuba","0","0"
"EXPECTO PATRONUM!!! ----- nothing happens..","0","0"
" Eeee! Hiya!  Haven`t spoken to you in ages! How you doing? *enormous hug*","0","0"
"_cupcakes that busy wowsa .. okay my pizzas gonna be a while  sorry..","0","1"
" sounds good. Appreciate the suggestion. Been a week now and we`re still offline  Time to ask for a refund...","1","0"
" no wine here - I don;t drink  - but I have have plenty of forbidden cholocate","0","0"
"I know I`m already a week behind on FF. Will TRY to get one done today! Called into work 2hrs early due to problems so will be a busy day","0","1"
" let be me your first","0","0"
"Beer pong  at 6am  with jess","0","0"
" just saw a baby blue regal with the word 'SLAB' written in huge letters on the side  hahaaaa","0","0"
" cute   Time for a twitpic ;)","1","0"
"Woo! Nachos AND ice cream  haha","0","0"
"Will be your DJ for a little while! Tune in if you want  www.soompiradio.com ","0","0"
" bad luck  oh well next time you will be more lucky...","0","0"
"_Roy i tell them it`s facebook minus everything but the status updates.","0","0"
" thanks will try to behave","1","0"
"Heading to Beaumont","0","0"
"Happy Mother`s Day! I love my mommy","1","0"
"any other Mac users completely given up on Google Chrome?","0","0"
"going to sleep with my baby","0","0"
"; why is the font so huge?! small fonts rock socks","0","0"
" What would you know about packing? You`re making poor Lauren do it all.","0","1"
"its almost lunch time for you","0","0"
" So you wouldn`t reply to my gorgeous hot pink shoe then?","1","0"
" wish you were sluttin it up w me  waaaaaaaaahhhh!!!","1","0"
"any one watching justin timberlake on SNL? He is greattttt! So hilarious","1","0"
"Listening music with my friend","0","0"
"****! ayoko na!! I said that in tagalog cuz idk what to do anymore!","0","1"
"_ oh god i just watched it to!! did claire escape? AGAIN!!! it was really quite sad","0","1"
"nice night  bed time; work from 4:30-8:45 tomorrow","1","0"
"I HATE CANCER. I HATE IT I HATE IT I HATE IT.","0","1"
" Haha most def ^__^ Rob a bank with me so i could get all the swedish fishes in the world","0","0"
"please?","1","0"
"I am not feeling well","0","1"
"Lovin  the clean shaven Mr Flowers!  He looks so young!!!  Reminds me that I`m getting old","1","0"
"i hate getting put on steroids. my face","0","1"
" cool !! actually i believe T.I. has just begun his jail sentence in arkansas","1","0"
"Saw the new Star Trek movie the other day. I strongly recommend it!","1","0"
"i need to write really bad. can someone go get my diary from my flat for me","0","1"
" I`m sure  would know of more","0","0"
" You have to come to Chile... with AC/DC would be fine","0","0"
"Good morning to all- and welcome new followers!","1","0"
"Lying in bed with my most favorit girl in the world. happy mommys day to me.","1","0"
"Ugh i have boom boom pow stuck in my head and i hate that song","0","1"
" Exactly! Silent treatment is a great torture method","0","1"
"is at the farm doing what i do best...RIDING MY **** OFF!!!...get at me","0","0"
" Prowse? I got a Christmas card of him last year.  & I wish I had the money right now. Saving for an apartment","0","0"
" i would be looking forward to seeing you tonight if i was going","1","0"
" everything is near here in SG! but you have a point--sana hindi sa Jurong East ang office ni ","0","0"
"is super happy at the new interest rate.  whoop whoop.","1","0"
"Im a loner  haha suckss","0","1"
"i was too slow to get $1 Up tix","0","1"
"Blogging-- http://13tolife.us/ Mentioning links to contests where you might just win a free book or two!","0","0"
" yeah  just told Stanley its the only time I want to slap girls icky **** encoraging bad behavior","0","1"
" totally! I`ve been waitin for somethin new and thought provoking at mj.name","1","0"
"my tummy hurts!","0","1"
"Way to many people were crying at the school picnic and now I have to decide if I want to go back or go to public. I`m confused and sad","0","1"
" but thats 7 weeks away  Im sure we got by only tweeting at night before?","0","0"
" bit excited are u bradie lol","1","0"
" - mostley yellow and green","0","0"
"Back from Miami. I miss South Beach","0","1"
"First sports banquet without katie","0","0"
" Yay! Thank you.. Feels like ur yelling at us   LOL","0","0"
" so nice to meet you too!  is the best for bringing me along","1","0"
"dinner was yummy and all... but i`m still super tired after all the things we went through to enroll for college.","0","0"
"Saw the UCLA bookstore...now convinced that every single major university has a better bookstore than    Having fun so far!","1","0"
"and now its raining","0","0"
"1/2 day tomorrow  carla coming over after school.","0","0"
" love u!! and love mr. player! come visit me  i miss u girls","1","0"
"its awful breezy out here good thing they sold blankets!","0","0"
"I miss the concert Tuesday already. I`d really like a time machine to go see it again... It was so fun...","0","0"
"its like 2 in the morning..sometimes I just don`t know exactly what is best to do..but I will def. figure it out!  ...HAPPY MOMS DAY!","0","0"
" Hi Serena just want to say good luck in Madrid and Paris this month","1","0"
" yeah...she passed last week.  so sad!","0","1"
" lol The sun is hiding hes having a lie in  hows you?","0","0"
" I knw maan! i was gonna say the same thing. We both would become omelettes and others would become chapathis","0","0"
"  i just want to wish your mom a happy mothers day!","1","0"
" thank you for the re-tweet","1","0"
"_beanz **** sorry to hear that tina...","0","1"
" i want to! but im not over 18 and t&c says over 18`s only  wanna make an exception for me ;)","0","0"
" hey we were doing the same thing this weekend! but it was for the kiddos...gotta love ikea","1","0"
"Indo Girl in Thai Traditional Clothes being object for tourist at Wat Arun","0","0"
" whoa... if the alcohol won`t get you buzzed... the price will","0","1"
"Can`t sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.","0","1"
"Plans were taking flight to go out tonight but they`re now sinking in the Hudson since I have to work in he morning. Stupid bird strike.","0","1"
"- me and my mom`s cars were broken into.  I feel violated.","0","1"
"Twas a good show. I even liked Ciara`s last song.   Time for me to go to bed. G`night!","1","0"
"Ugh!! Why isn`t inFamous on xbox360!!!?? **** lame.. Its only on PS3..","0","1"
"hommmmmme! good day","1","0"
" Haha of course! That`s my favorite album of all time","1","0"
" im so upset u were at US weekly my uncle works there but he apparently didnt know how big of a fan i am!","0","0"
"I meant mamas","0","0"
"i have never seen Wall-E. i am confused because i had no idea what you guys were talking about... hehe!  now i do though!","0","0"
" Hey! That`s about what ours was... for round 1. :/ Round 2 next week...","0","0"
"I don`t want to work tomorrow. I don`t feel good. Haven`t felt good in 4 days =/ My body needs rest but my mind won`t slow down!","0","1"
"Is not looking forward to the LSAT","0","0"
"enjoying the great sunshine.. from indoors.. I don`t feel good today","0","0"
"my stupid msn wont sign in","0","1"
"So guttered that Ruby got eliminated from NZNTM..  I`m all about supporting the locals. Haha. Hosanna better not win..!","0","0"
"http://twitpic.com/4wh0o - My mommys gummy mothers day posterrr!","0","0"
" one of my favorite quotes ever","1","0"
"had to give my 5 year old golden retriever away to another family today  #sad http://bit.ly/s48D0","0","1"
" Go girl!! Start your day out right...gotta love that!","1","0"
" you didn`t say you were leaving yesterday! You won`t see me at the house anymore once you get back... tear tear","0","0"
" Thanks for the well wishes and hope ur day is also quite successful","1","0"
"Updating to the latest version of Adium now. What a great app!","1","0"
"Happy #juddday everybody!","1","0"
"Sitting outside with my laptop  Its kinda nice","1","0"
"_Lia Should have grabbed some on the way to work","0","0"
"Just home from work!!!!! Need to continue packing. Raerae is gone for the weekend.   Mya and I are hanging out","0","0"
"speechless","0","0"
"going down the post office to try and sort this whole ebay hacker thing","0","1"
"I thought when u go #2 your tummy is supposed to feel better not worse","0","0"
"Getting a pedicure. I love these. My massage did not include a leg/arm/foot massage today.","0","0"
"My brain hurts","0","1"
"good night fellow Twitterati. back to work tomorrow","1","0"
"Just want to wish everyond a Happy Mother`s Day. Hope it`s a great one!","1","0"
"I smashed my pinky in julia`s car door... **** my life...","0","1"
"new neighbors are moving in.... off to give my brazil presentation that i shouldve given on wed!!! but some people went overtime","0","0"
"Chilling at home","1","0"
"Off work","0","0"
"Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb","0","0"
" I trailed the streets of Sheffield and couldn`t find the pub!  And all the numbers I had were landlines. How goes it?","0","0"
"dedicating the next 2 hours to cleaning the house","0","0"
" Sunday and Mother`s day!","0","0"
"http://bit.ly/s7hQe   Translate XMind to your language.","0","0"
"Happy Mothers Day","1","0"
"Bored... Some vector ****... Off to work after this class..","0","1"
"Having Fever  dont feel to work","0","1"
"i finished all my work!","0","0"
" We were so busy I didn`t even get to talk with you!!  Please tell me you got your lipstick?!","0","0"
" It`s called a RipStick.  When I had a job I sold a lot of those...","0","0"
" Sorry to hear.","0","1"
" in the sun and changing my default icon just for you  what`re your plans?","0","0"
" do you have a password for the San Diego show? Mine is not working","0","0"
"finished watching the movie `mirrors`. I liked it but it really didnt do anything for me  5 out of ten i give it   // cool http://g ...","1","0"
"Poor little MBA is on fire again","0","1"
" g`mornin","1","0"
"My mind automatically wakes up at 7. Huge fail -- it`s SUMMER!  Good morning nonetheless. Gonna get ready for work now.","0","1"
"I gotta do my assignments tomorrow  OMG mackillop has swine","0","1"
"_BHB I went to that concert and I remember Derek and Mark were hosting! I miss seeing BHB  at the grove.","0","1"
" it`s been hectiv runny around after the women but goof  just making them both a surprise now","0","0"
"Ugggh. Its so nice out! I don`t want to be working with back-up dancers.","0","0"
" did u try taco n mac n cheese pizza???? I`m so cravin it right now BUT all the good food makes me sick","0","0"
"ping pong tomorrow","0","0"
"mum`s day - ended up being happy  not that it`s my day or anything....","1","0"
" haha check out our site its got some good ones too","1","0"
"gettin ready for school my new converse come in today!","0","0"
"With my baby drinking. God I love her","1","0"
"the sun burned me today....my arms look angry  Party tonight tho babes! woop!","0","1"
"_Nicole wow you are lucky  happy birthday!","1","0"
"vineri...nimic special sau probabil un alt weekend pierdut...","0","0"
"Western Digital Caviar Black 1TB SATA 300 NCQ 32MB on the way...","0","0"
" I want one  wanna give me one? ;)","0","0"
" ah helping my friend move and will defo be having a well deserved pint after it that`s for sure","1","0"
"is clamped out...haha","0","0"
"...And omg whats this dirty letter from Danny everyones been on about? Its absolutely none of my business but I still feel left out lol","0","1"
": ''UB40-'Bring Me Your Cup'''  ? http://blip.fm/~7af72","0","0"
"I wish GM stock would turn around at 80 cents a share I would be willing to buy some...if I knew it would do something","1","0"
" Thank you - If you like please leave a comment and Subscribe!   Chicago another great musical.  Thanks for your support.","1","0"
" anychance you can get matthew to give a shout out to my mum Sarah for mothers day! we saw 'Ghosts from girlfriends past today'","0","0"
" Absolutely ...","0","0"
"im well bored  had a great half term and i dont wanna go back to school on monday :`( enjoying the hot weatler lo0l ;)","0","0"
" Likewise. But I don`t know anyone who uses gtalk and the likes so I`m not holding much hope","0","1"
" You`re gonna wear pink outfits??? I assume she bought it for you","0","0"
"going to look in the refrigerator for a taste snack to eat","1","0"
"So treat your Mom`s like Queen`s cuz they are","1","0"
" i wish i had a 12hr nap!!  lets talk rachel into getting one of these now.. lol","0","0"
" of course its not coming to boise","0","1"
"My Boss is in Las Vegas on the 14th A.P.P. Conference.......pfff","0","0"
" tweet often and it`ll draw followers to you","0","0"
"_trick It`s all good  The next 6 months are going to be awesome.","1","0"
"http://twitpic.com/67twh - This has never happened before =/ orange blinky lights. I think I`ve broke my battery again","0","1"
" LOL yea the fondue is on point... but that Chocolate Lava Cake is what you really want...but I wont be here   Im Mon-Fri babes!","0","0"
"New phone isn`t syncing with my computer...I need numbers","0","0"
"I keep on falling asleep when I`m suppose to be awake. I miss my babyy..","0","1"
" I love #polaroid - such a shame they don`t make the film for it anymore","0","0"
"Im so down! The AC in my house just broke","0","1"
"ah remember the days when you`d sleep in until noon? well guess who did that today? god i feel like a loser","0","1"
"waitin for some Fall out boy","0","0"
" Her new cd is lovely.","1","0"
"'The weather outside is weather' hahah made me feel better","1","0"
"just got home from the sunshine coast","0","0"
"Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.","1","0"
"'locked up abroad' makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo","0","1"
"_ more than youl ever no ! !! ! !!   ****","0","0"
" hehehehe oh i love the Purate ENglish sooo much","1","0"
"really not feelin well...","0","1"
" ...hey danny .. did u run already ???    hope you have a good day ;)   i love you !!!!","1","0"
"  what`s going on ?","0","0"
" hey  what`s up?","0","0"
" pooof .nirvana. Did that work?  http://myloc.me/tDl","0","0"
"Just got back from baby sitting. It went well.","1","0"
" Oh I had lots put on my desk during those years  I guess if they`ve done it to you then it would be ok to do it back lol","1","0"
" aw. wasn`**** sad?! give ginger a little pat on the head for me!  mwah!","0","1"
" alredy had my chocolate  it is impossible to resist ;)","1","0"
"Feeling nauseous and can`t sleep.","0","1"
"is super stressed!","0","1"
" Have you managed to breathe since getting the news?","0","1"
"i just had the weirdest dream ever and can`t see because owi credo is too brighi. But i hate guys","0","1"
